Address,Quantity
0xcd1292b76ccef8be68cccd1add1bd9f20c9ff7a2,1
0x9034f7df90e1a8b892b1ca739d4f7b50ba716ad1,3
0xcfb4df12485f7d1a4ac29a41fa3b8075ac152a15,4
0xa3ba32613a83805f980c76715890b744ac2fa36a,1
0x08d56b0288f4d714d91c3aaa992f35237788b365,1
0xa4cfcfe12f435542374e7d09254b82730cfde383,1
0xb0bb5cd672a2926df417cbf4a4ef9e834f927b0a,1
0xe0354cc2bd5b1a9747a24d976d25ec366c08252d,1
0x5f7c1be70876f2139522b9a2f914cf5a931c2dee,1
0xc0ed72dae37c4966eaeb9100ececd9a3baccfebe,1
0xd5ae94abb9249915d72ba497f55fd121583a652d,1
0x644664df70a8a97ebce211a3d5ed8172ef5634e2,1
0x9ebfa018938b6a45155709df094ae794e9ba6bd1,1
0x1ddddea042ef70a88ef2c5ca635123b5e4c6ef81,1
0x15439815e6e598154c1ec74a7f72f535d6d4d8b5,4
0x935bb70a242aa96e687324e87a81607693628ae7,3
0x062f234e9ba2dc4f2df0e1b2e4d20b24da1e52d5,5
0xc1e41e7dc2d4ef147548fbe0e23d390240b36c86,3
0xe48bb840cf698a6d0b60c69b96752e0d9f84e28f,3
0x3725da4c20efa0e64a7754913bc4c7b120d63cb1,1
0x2ad488132313e0a57ef9778f30ce942b0de49853,2
0xfca747bce82b31df2d4785a5593c5fd0cf2fd0ea,7
0xb63f56f57b058301a20528c14904c607c160489a,1
0x8e7581a622ed528dd81d6cd8ad369519d28be65d,1
0x18fad947475562054e7c8c4343a119503c1de0d0,5
0x1e0eafbcd2c6493a6f5ddb2fe5c19413f96b6317,5
0x3e261a8f2d02ce03c74cff82f2cb7062ad095b87,5
0xe3862e7b95474ae5cb5d9e3da164d1fea6378d75,1
0xd14aaecef9d3bb8a052b7462b6f28cbe2ba94d9b,3
0xcbcea13772b6b6e5843ec382d93369c556f8dcf0,4
0xd14c1f97eda84a43c7e8e4deed31d8b0ccff7100,3
0xcff78129ffb7ba5a7073ef1c9665eb00152e7137,2
0x9734678d74ecaf6c8e3b759e8f4dea2ae1f1bdd3,1
0xf51773eb34149bda93525fa200a9eb4000224223,3
0xaef2e0dbf037d042fec8f8c03c07e2393220819c,2
0x1c1291af4fd62b613cd90ecc7172d27f0ebd0729,1
0xb763d81e96218f6cee5d87949d73ca4033dcb2cf,3
